lineid,buslinenum,bustype,startpoint,endpoint,companyid,headway,firsttime,endtime,headwaypeak,headwaynorm,headwayholi
5200307000,307,일반버스,송정,김해공항,일광,15,05:00,21:35,15,23,25
5200031000,31,일반버스,송정,모라주공,"세익,일광",8-9,04:40,21:35,9,9,12
5200033000,33,일반버스,연제공용차고지,만덕,한창,4-5,04:25,22:05,9,9,10
5200033100,33-1,일반버스,연제공용차고지,신라대학교,한창,,05:00,22:05,11,12,16
5200338000,338,일반버스,다대포,모라주공,"동원,동진",40,05:00,21:45,8,11,14
5200036000,36,일반버스,청강리공영차고지,거제역,일광,9-10,05:00,21:40,20,21,23
5200037000,37,일반버스,금정공영차고지,고원3차아파트,삼신,15,05:00,22:20,17,22,22
5200038000,38,일반버스,청강리공영차고지,중앙공원.민주공원,부일,15,04:40,21:50,22,28,35
5200038100,38-1,일반버스,조선통신사역사관,부산역,국제여객,,06:30,09:25,60,60,60
5200039000,39,일반버스,기장교리,남구국민체육센터,부산,10,05:00,22:05,12,13,16
5200040000,40,일반버스,청강리공영차고지,구덕운동장,부일,9-10,04:40,21:50,8,13,14
5200041000,41,일반버스,민락동,충무동,용화,4-5,05:00,22:45,5,8,11
5200042000,42,일반버스,회동동,부산항국제여객터미널,삼화,20,05:10,22:30,12,13,16
5200043000,43,일반버스,회동동,중앙공원.민주공원,삼성,9,04:50,22:20,8,13,15
5200044000,44,일반버스,반여3동,당감4동,일신,6-7,04:50,22:28,5,9,9
5200046000,46,일반버스,구포3동,동래중학교,태진,10,04:55,22:50,14,14,20
5200049000,49,일반버스,금정공영차고지,광안리해수욕장,삼신,6-7,05:00,22:15,8,11,13
5200005100,5-1,일반버스,회동동,충무동,삼성,10-11,04:50,22:20,16,16,20
5200050000,50,일반버스,덕계,법원검찰청,삼신,10,04:50,22:00,13,17,18
5200506000,506,일반버스,반여4동,부산시민공원,삼성,15,05:20,22:40,10,14,16
5200508000,508,일반버스,고신대영도캠퍼스,중앙공원.민주공원,남부,10,05:00,23:16,7,10,13
5200051000,51,일반버스,금정공영차고지,감만2동,화신,7-8,04:50,21:20,6,8,9
5200052000,52,일반버스,반여3동,수정4동,일신,9,05:00,22:20,5,9,10
5200520000,520,일반버스,강서공영차고지,서부지원.서부지청,태영,24,05:00,20:50,60,64,64
5200054000,54,일반버스,연산9동,전포동,삼성,10,04:50,22:30,5,9,9
5200055000,55,일반버스,강서공영차고지,하단,태영,,05:00,21:00,37,37,46
5200057000,57,일반버스,사직동,진시장,학성,4-7,04:25,22:30,8,12,12
5200058000,58,일반버스,강서공영차고지,장림동원로얄듀크,태영,26,05:00,21:30,50,50,50
5200058100,58-1,일반버스,강서공영차고지,하단역,영신,10,04:30,21:40,27,33,37
5200058200,58-2,일반버스,강서공영차고지,사하구청.당리역,태영,15,04:50,22:20,14,15,17
5200583000,583,일반버스,용당동,범일동,"용화,창성",17-18,05:15,22:35,21,27,33
5200059000,59,일반버스,금곡동,충무동,삼진,14,04:40,22:00,13,13,17
5200006000,6,일반버스,고신대영도캠퍼스,괴정시장,남부,5,04:50,22:45,9,10,14
5200061000,61,일반버스,학장동,까치고개,대도,5-7,05:00,20:50,16,20,23
5200062000,62,일반버스,민락동,신라대,오성,6-7,05:00,22:24,8,8,10
5200063000,63,일반버스,청강리공영차고지,부산진구청,일광,7-8,04:30,22:10,8,10,12
5200067000,67,일반버스,개금아파트,엄궁아파트단지,동남,5,05:00,22:25,6,6,8
5200068000,68,일반버스,용당동,하단역,창성,6,04:45,22:30,5,6,8
5200007000,7,일반버스,고신대영도캠퍼스,수산가공선진화단지,남부,12,05:00,22:37,16,17,23
5200070000,70,일반버스,고신대영도캠퍼스,중앙공원.민주공원,남부,13,05:00,22:20,19,22,22
5200071000,71,일반버스,고신대영도캠퍼스,수산가공선진화단지,남부,11,04:55,22:43,17,17,18
5200073000,73,일반버스,정관,반송,세진,30,05:00,22:00,65,65,65
5200077000,77,일반버스,학장동,장전역,대도,7-8,04:55,22:40,8,11,14
5200008000,8,일반버스,태종대,서부터미널,신한,6-7,04:48,22:13,6,9,12
5200080000,80,일반버스,금정공영차고지,부산진시장,"삼신,세진",9-10,04:50,22:00,6,8,10
5200081000,81,일반버스,연제공용차고지,서대신금호아파트,동원,4-5,04:40,22:40,3,6,6
5200082000,82,일반버스,청학동,전포화신아파트,유한,4-7,04:55,22:40,5,9,10
5200083000,83,일반버스,민락동,부전시장,용화,5-6,05:00,22:50,5,8,11
5200083100,83-1,일반버스,민락동,사직동,"용화,학성",16,05:00,23:00,24,26,26
5200085000,85,일반버스,청학고개,전포역,유한,7,04:50,22:50,10,15,19
5200086000,86,일반버스,연산9동,충무동,삼성,10,04:50,22:20,7,12,14
5200087000,87,일반버스,연산9동,까치고개,삼성,8,04:50,22:20,5,8,10
5200088000,88(A),일반버스,태종대,당감주공,신한,7-8,04:46,21:50,21,25,34
5200088100,88-1A,일반버스,동삼그린힐,부산역,유한,18,05:00,23:10,6,9,11
5200009000,9,일반버스,청학동,수산가공선진화단지,남부,25,04:50,23:35,16,20,23
5200090000,90,일반버스,부산종합터미널,범어사,삼신,15,07:50,20:00,15,17,11
5200096000,96,일반버스,다대포,송도,동진,4,05:00,22:30,6,7,9
5200096100,96-1,일반버스,다대포,서구청,동원,,05:00,22:00,40,41,41
5200099000,99,일반버스,회동동,부산진시장,삼화,4-5,05:00,22:40,4,7,9
5291401000,강서구1,마을버스,외양포,용원,"강서, 녹산",,05:10,18:00,40~50,40~50,40~50
5291401100,강서구1-1,마을버스,선창,"생교, 눌차, 정거, 용원",대일교통,,05:30,19:40,80,80,80
5291411000,강서구11,마을버스,득천사거리,구포시장,대일,30,05:30,20:30,45~55,45~55,70
5291412000,강서구12,마을버스,지사산단,하단역,"강서, 대저",33,06:00,21:00,25~30,25~30,30~40
5291412100,강서구12-1,마을버스,지사문화회관,하단역,대일교통,,05:45,22:06,37,37,55
5291413000,강서구13,마을버스,덕천교차로,하단역,대일,20,05:40,21:55,20~25,20~25,30
5291415000,강서구15,마을버스,강서구청역,하단역,대호,22,06:15,21:30,45,45,45
5291415100,강서구15-1,마을버스,디에트르더퍼스트,하단역,녹산,,06:20,22:15,40,40,40
5291416000,강서구16,마을버스,주포마을,성산1구,녹산,120,06:20,20:35,60,60,60
5291419000,강서구19,마을버스,강서구청역,모라주공3.4단지,대호,,06:00,23:00,25,25,25
5291402000,강서구2,마을버스,부원역,강서구청역,미성,60,06:20,21:30,60,60,120
5291420000,강서구20,마을버스,선창,하단역,녹산,0,05:45,21:30,25~30,25~30,30~35
5291421000,강서구21,마을버스,명지환승센터,하단역,"대저,녹산",,06:10,21:20,20~30,20~30,20~30
5291422000,강서구22,마을버스,명지환승센터,평강농협,녹산버스,,06:00,20:40,70~80,70~80,70~80
5291405000,강서구5,마을버스,평강하리,구포시장,대저,20,06:00,21:40,20~30,20~30,20~30
5291406000,강서구6,마을버스,대흥마을,구포시장,대일교통,,06:30,20:20,65~85,65~85,140
5291406100,강서구6-1,마을버스,신호부영5차아파트,불암역,대일교통,,05:30,20:06,43,43,65
5291407000,강서구7,마을버스,둔치도,하단역,강서,33,06:00,20:10,60,60,60
5291407100,강서구7-1,마을버스,지사문화회관,구포시장,대일교통,0,05:30,20:31,43,43,65
5291407200,강서구7-2,마을버스,지사산단,구포시장,지사,90,05:40,22:00,65,65,70
5291408000,강서구8,마을버스,디에트르더퍼스트,명호중고등학교,녹산버스,,06:00,21:20,53,53,53
5291408100,강서구8-1,마을버스,디에트르더퍼스트,국회부산도서관,녹산,,06:15,21:40,45,45,45
5291409000,강서구9,마을버스,신호부영5차아파트,성산1구,녹산,45,06:00,21:00,60,60,60
5291409100,강서구9-1,마을버스,용원,하단역,녹산,15,05:00,21:20,35,35,35
5291101000,금정구1,마을버스,산성공해마을,구포시장,(주)산성버스,8,06:00,22:00,10,10,10
5291102100,금정구2-1,마을버스,범어사역,중리.공덕초등학교,㈜용진교통,10,06:25,23:00,20,20,20
5291102200,금정구2-2,마을버스,범어사역,임기,㈜용진교통,20,06:15,23:05,20,20,20
5291103000,금정구3,마을버스,부산외대건학관,부산외대건학관,(주)태성여객,26,07:00,23:00,5,10,15
5291103100,금정구3-1,마을버스,선동상현마을,구서역,(주)태성여객,16,06:45,23:00,60,60,60
5291103200,금정구3-2,마을버스,구서역2번출구,부산외대건학관,(주)태성여객,,06:45,23:00,30,30,30
5291105000,금정구5,마을버스,장전역4번출구,오륜본동마을,(주)금정오륜버스,22,06:20,22:42,25,25,25
5291105100,금정구5-1,마을버스,부산대역,부산가톨릭대학교,(주)금정오륜버스,22,06:45,21:55,22,22,22
5291106000,금정구6,마을버스,신동아아파트,온천장역,(주)성진버스,10,05:45,22:45,10,12,12
5291107000,금정구7,마을버스,부산대역,부산대학교,대영버스㈜,7,05:57,20:00,10,10,10
5291611000,기장군11,마을버스,기장고입구,반송보경사,"(주)기장교통,(주)차성교통",,05:15,21:20,15-28,30,15-28
5291602000,기장군2,마을버스,기장,학리,(주)차성교통,60,05:45,21:15,,,
5291602300,기장군2-3,마을버스,범어사역,철마,㈜용진교통,,07:25,22:30,60,60,60
5291603000,기장군3,마을버스,기장,서생신암,(주)차성교통,20,05:25,21:25,30~40,30~40,40~50
5291657000,기장군57,마을버스,동해선좌천역,월평,기장교통,,06:30,19:00,90,90,90
5291606000,기장군6,마을버스,문화그린아파트,월전,㈜용진교통,20,06:25,21:40,30,30,30
5291608000,기장군8,마을버스,기장,정관(모전초등학교),(주)기장교통,50,05:20,21:15,23~25,23~25,23~25
5290701000,남구1,마을버스,부산예술대학,청구아파트,범양,8,05:35,23:15,10,8,8
5290702000,남구2,마을버스,오륙도선착장,구.외국어대,대용운수㈜,15,05:30,22:57,15,10-13,15-20
5290703000,남구3,마을버스,못골시장,범일역,부영버스,9,06:00,23:20,10,9,9
5290705000,남구5,마을버스,남구종합사회복지관,범일역,용진,13,06:00,22:40,17,13,13
5290706000,남구6,마을버스,유창그린아파트,못골시장,감만,8,06:00,23:40,8,8,8
5290708000,남구8,마을버스,용호벽산아파트,수영구청.금호어울림,부민교통,15,05:50,23:00,20~30,20~30,30~35
5290709000,남구9,마을버스,경동아파트,마마빌라,부민,12,05:50,23:00,17~30,17~30,25~30
5290301000,동구1,마을버스,안창마을,범내골역,삼안,7,05:20,23:40,7,7,7
5290301100,동구1-1,마을버스,안창마을,남해지방해양경찰청,삼안,10,05:20,23:15,10,10,10
5290302000,동구2,마을버스,수정아파트,동구청.우체국,수정,6,05:52,23:45,5,6,6
5290601000,동래구1,마을버스,롯데백화점(동래점),세웅병원,성신,10,06:30,23:00,15,12,15
5290601100,동래구1-1,마을버스,온천장역,동래구청,성신,,06:30,23:00,20,20,30
5290602000,동래구2,마을버스,남일중학교,동래역,세성교통(동래),10,06:30,23:00,10,12,12
5290603000,동래구3,마을버스,금정마을,동래구청,금정,10,06:15,23:00,10,10,10
5290605000,동래구5,마을버스,달북마을,동래역,지사,10,06:00,23:35,12,8,8
5290606000,동래구6,마을버스,센텀트루엘아파트,동래역,창신,12,06:30,23:00,12,14,12
5290606100,동래구6-1,마을버스,센텀롯데캐슬2차아파트,동래역,창신,14,06:30,23:00,14,14,14
5290607000,동래구7,마을버스,롯데백화점(동래점),센텀SK뷰아파트,성신,10,06:40,23:00,10,13,13
5290608000,동래구8,마을버스,사직여자중학교,동래역,㈜신아교통,10,06:05,23:40,10,10-15,10
5290510000,부산진구10,마을버스,부산백병원,개금삼거리,대명교통,16~17,07:00,18:20,4,7,4
5290510100,부산진구10-1,마을버스,동남여객,구덕대림아파트,대명,26,06:00,22:04,,,
5290511000,부산진구11,마을버스,이마트연제점,부전시장,주식회사 한국교통,15,06:00,22:30,20,20,25
5290512000,부산진구12,마을버스,부산여대,서면역,㈜범우교통,8~9,06:00,23:20,25,25,25
5290512100,부산진구12-1,마을버스,부산여대,서면역,㈜범우교통,,,,11,11,11
5290513000,부산진구13,마을버스,청구화인아파트,부전시장,세성교통,8,05:57,22:50,11,10,10
5290515000,부산진구15,마을버스,원당골(대우아파트),롯데호텔백화점.서면역,한창,10,06:00,22:00,,,
5290517000,부산진구17,마을버스,초읍대진아파트,동래지하철역,미성,15,06:00,23:20,13,15,13
5290502000,부산진구2,마을버스,부전역,대산아파트,범우,5,06:00,23:06,8,5,5
5290506000,부산진구6,마을버스,동의대본관,가야1치안센터,(주)대도운수,10,07:00,23:00,6,6,6
5290506100,부산진구6-1,마을버스,동의대본관,동의대역,(주)대도운수,5,07:00,23:00,5,5,6
5290507000,부산진구7,마을버스,동의과학대학교,양정역,주식회사 한국교통,15,07:00,17:00,20,20,25
5290508000,부산진구8,마을버스,동의의료원,양정역,주식회사 한국교통,15,06:00,21:30,25,25,25
5290509000,부산진구9,마을버스,동의대본관,신주례LG아파트,(주)대도운수,8,06:00,22:50,10,10,13
5290801100,북구1-1,마을버스,만덕고등학교,덕천교차로,태진버스(주),0,05:30,23:20,7,7,7
5290802000,북구2,마을버스,구포시장,만덕동일아파트,삼진교통㈜,12,06:00,23:00,17,22,22
5290803000,북구3,마을버스,금곡동,구포시장,"국제여객㈜,삼진마을버스㈜",0,05:30,22:55,6,6,6
5290806000,북구6,마을버스,북구청,부산과학기술대학교,태진버스(주),7,05:50,23:05,7,7,7
5290807000,북구7,마을버스,화명유림아파트,구포시장,삼진운수써비스(주),5,06:00,22:55,6,6,6
5290808000,북구8,마을버스,만덕한신아파트,만덕역,삼진교통㈜,0,06:00,23:00,21,21,21
5290808100,북구8-1,마을버스,구포시장,그린코아아파트,삼진교통㈜,0,06:00,23:00,30,30,30
5290808200,북구8-2,마을버스,만덕역,그린코아아파트,삼진교통㈜,,06:00,23:00,15,15,15
5290809000,북구9,마을버스,만덕고등학교,만덕역,삼진교통㈜,13,06:00,23:00,12,12,12
5291501100,사상구1-1,마을버스,괘법르네시떼역.르네시떼,모라벽산아파트,신라,10,06:00,22:50,12,15,15
